base,derivada
ronaldo,ronaldo
ronaldo,ronda
ronaldo,don
ronaldo,lado
ronaldo,ladrón
ronaldo,ando
ronaldo,don
ronaldo,rol
ronaldo,ado
ronaldo,lado
ronaldo,nora
ronaldo,raro
arqueros,arqueros
arqueros,arco
arqueros,queros
arqueros,rosa
arqueros,re
arqueros,ar
arqueros,queso
arqueros,raso
arqueros,raro
arqueros,rose
arbitraje,arbitraje
arbitraje,arbitra
arbitraje,jar
arbitraje,tra
arbitraje,bira
arbitraje,arte
arbitraje,riba
centrocampista,centrocampista
centrocampista,centro
centrocampista,campista
centrocampista,centa
centrocampista,pista
centrocampista,mar
centrocampista,pasto
centrocampista,cima
centrocampista,piso
delanteros,delanteros
delanteros,del
delanteros,latero
delanteros,alto
delanteros,roda
delanteros,sol
delanteros,dato
falta,falta
falta,alfa
falta,tal
falta,lat
falta,fa
falta,lata
falta,tala
competicion,competicion
competicion,cometa
competicion,pico
competicion,cien
competicion,once
competicion,tiempo
libertadores,libertadores
libertadores,libro
libertadores,tarde
libertadores,bote
libertadores,sol
libertadores,roda
libertadores,lote
instituciones,instituciones
instituciones,instituto
instituciones,ciones
instituciones,tuno
instituciones,su
instituciones,in
instituciones,tino
maradona,maradona
maradona,mara
maradona,dona
maradona,roma
maradona,mano
maradona,don
maradona,amo
clubes,clubes
clubes,club
clubes,bes
clubes,sub
clubes,blue
romagnolli,romagnolli
romagnolli,roma
romagnolli,lino
romagnolli,gallo
romagnolli,rollo
romagnolli,ion
gambetear,gambetear
gambetear,gamba
gambetear,bete
gambetear,eta
gambetear,gear
gambetear,mar
